iter	Passed	Remaining
399	30386	45580
400	30456	45494
401	30525	45409
402	30596	45325
403	30665	45239
404	30744	45167
405	30866	45159
406	30938	45077
407	31011	44997
408	31103	44944
409	31177	44865
410	31245	44777
411	31317	44695
412	31390	44616
413	31459	44529
414	31538	44458
415	31610	44376
416	31678	44289
417	31765	44229
418	31847	44160
419	31913	44070
420	31980	43982
421	32064	43918
422	32149	43853
423	32218	43769
424	32295	43694
425	32358	43600
426	32431	43520
427	32492	43425
428	32556	43333
429	32626	43248
430	32704	43175
431	32771	43088
432	32851	43018
433	32924	42938
434	32985	42843
435	33059	42765
436	33139	42694
437	33215	42619
438	33284	42534
439	33356	42453
440	33432	42377
441	33500	42292
442	33559	42195
443	33634	42118
444	33700	42031
445	33772	41950
446	33846	41872
447	33923	41798
448	33987	41708
449	34052	41619
450	34125	41541
451	34199	41463
452	34267	41378
453	34346	41307
454	34423	41232
455	34505	41164
456	34656	41178
457	34803	41186
458	34869	41099
459	34945	41023
460	35020	40946
461	35090	40862
462	35161	40781
463	35229	40696
464	35297	40611
465	35372	40533
466	35450	40460
467	35527	40386
468	35604	40311
469	35708	40266
470	35846	40260
471	35966	40233
472	36124	40248
473	36243	40219
474	36321	40145
475	36391	40060
476	36460	39976
477	36529	39892
478	36598	39807
479	36677	39734
480	36746	39649
481	36818	39568
482	36888	39485
483	36961	39405
484	37029	39319
485	37097	39234
486	37167	39151
487	37235	39067
488	37302	38980
489	37374	38899
490	37441	38813
491	37510	38730
492	37579	38646
493	37645	38560
494	37711	38473
495	37785	38395
496	37862	38319
497	37940	38245
498	38014	38167
499	38097	38097
500	38166	38013
501	38235	37931
502	38306	37849
503	38376	37767
504	38449	37688
505	38520	37607
506	38596	37530
507	38663	37446
508	38735	37366
509	38805	37283
510	38876	37203
511	38946	37121
512	39012	37035
513	39085	36955
514	39153	36872
515	39226	36794
516	39303	36718
517	39372	36635
518	39442	36554
519	39514	36475
520	39585	36394
521	39658	36315
522	39722	36228
523	39798	36153
524	39887	36088
525	39987	36034
526	40103	35993
527	40191	35929
528	40264	35849
529	40330	35764
530	40397	35680
531	40472	35603
