iter	Logloss
0	0.6538103206
1	0.6174966448
2	0.5863893394
3	0.5583427828
4	0.5348374946
5	0.5133030002
6	0.4934905671
7	0.4767408483
8	0.4615152838
9	0.4458325246
10	0.4334927299
11	0.4221080875
12	0.4112930772
13	0.4023274132
14	0.3942454374
15	0.3856229038
16	0.3780325423
17	0.3715420045
18	0.3659273161
19	0.3610963394
20	0.3565205286
21	0.3525436735
22	0.3483129703
23	0.3442168121
24	0.3411261719
25	0.3384962685
26	0.3358998654
27	0.3336046427
28	0.3310243357
29	0.3290911297
30	0.3270609906
31	0.3250379801
32	0.3233254167
33	0.3215674728
34	0.3202886927
35	0.3189560819
36	0.3174981071
37	0.316242946
38	0.3151412014
39	0.3140769762
40	0.3131913717
41	0.3122418567
42	0.3115925556
43	0.3106457735
44	0.3099981828
45	0.3091443549
46	0.3083834137
47	0.3078252529
48	0.3072378906
49	0.306628526
50	0.3058624362
51	0.3053923916
52	0.3048007021
53	0.3044340788
54	0.3041020237
55	0.303745161
56	0.3033439234
57	0.3029246972
58	0.3024983589
59	0.3022076427
60	0.3018855273
61	0.3015059303
62	0.3010996494
63	0.30069787
64	0.3004190792
65	0.3001121211
66	0.299948397
67	0.2995396964
68	0.2992018718
69	0.2988715146
70	0.298646446
71	0.2984592974
72	0.2983018676
73	0.2979834684
74	0.2977892137
75	0.2975727296
76	0.2973743966
77	0.2971490653
78	0.2969481308
79	0.2967703512
80	0.2965409372
81	0.2962984004
82	0.2961487175
83	0.2959422306
84	0.2957260748
85	0.2955266427
86	0.2953396752
87	0.2952147816
88	0.295029976
89	0.2949314277
90	0.2947182305
91	0.2945471437
92	0.294362833
93	0.2941748885
94	0.2939361875
95	0.2938874143
96	0.2937389889
97	0.2935970414
98	0.293481302
99	0.2933689229
100	0.2932849008
101	0.2931867931
102	0.2930317298
103	0.2928731156
104	0.2927356792
105	0.2926047577
106	0.2924867996
107	0.292404354
108	0.2922644912
109	0.2921542629
110	0.29202781
111	0.291934176
112	0.2917822099
113	0.2916463665
114	0.2914870189
115	0.2913275106
116	0.2912609539
117	0.2911035515
118	0.2909669213
119	0.290877279
120	0.2907990137
121	0.2906918297
122	0.2906114754
123	0.2905376994
124	0.2904562472
125	0.2903384635
126	0.2902232582
127	0.2901625404
128	0.2899867349
129	0.2898315059
130	0.2897246164
131	0.2896286661
132	0.2895767937
133	0.2894249951
134	0.2893045071
135	0.289225312
136	0.2890964598
137	0.2890363494
138	0.2889883783
139	0.2889187764
140	0.288797135
141	0.28876053
142	0.2886727342
143	0.2885624552
144	0.2884432837
145	0.2883813021
146	0.2882914652
147	0.2882303055
148	0.2881912131
149	0.288159263
150	0.2880085544
151	0.2878891994
152	0.2877728506
153	0.2876885718
154	0.2876016587
155	0.2874801696
156	0.2874033993
157	0.2873692806
158	0.287306549
159	0.2872717848
160	0.2872665085
161	0.2871588324
162	0.2870953978
163	0.286993762
164	0.2868630184
165	0.2867896204
166	0.286689686
167	0.2865724051
168	0.286463467
169	0.2863804867
170	0.2862554401
171	0.2862087776
172	0.2860842075
173	0.285991397
174	0.2859430139
175	0.2858688269
176	0.2857878406
177	0.2856154561
178	0.2855117661
179	0.2854207179
180	0.2853087275
181	0.2852353523
182	0.2851027424
183	0.2850103453
184	0.2849549317
185	0.284866445
186	0.2848077636
187	0.2846773424
188	0.2845379871
189	0.2845143713
190	0.2844199814
191	0.2842981462
192	0.2842245088
193	0.28413527
194	0.2841104991
195	0.2840096273
196	0.2839734999
197	0.283917781
198	0.2838199835
199	0.2837572724
200	0.2836724226
201	0.2835594779
202	0.2835140866
203	0.2833648905
204	0.2832791946
205	0.2831574083
206	0.2830294818
207	0.2829186149
208	0.282870544
209	0.2828057448
210	0.282746438
211	0.2826540153
212	0.2825510373
213	0.2824883232
214	0.2823881961
215	0.2822887631
216	0.28214959
217	0.2820127726
218	0.2819302804
219	0.2818721977
220	0.2817910407
221	0.2816913626
222	0.2815999344
223	0.2815103697
224	0.2814203386
225	0.2813523833
226	0.2812447862
227	0.2811432642
228	0.2811012912
229	0.2809600334
230	0.2809060958
231	0.2807851179
232	0.2806218473
233	0.2805303113
234	0.2804931031
235	0.2803956572
236	0.2803546327
237	0.2802161131
238	0.280117898
239	0.2800222157
240	0.2799222775
241	0.2798424644
242	0.2797575055
243	0.2795980478
244	0.2794620299
245	0.2794242971
246	0.2792913654
247	0.279192686
248	0.2790790251
249	0.2789793207
250	0.2788521992
251	0.2787737663
252	0.2786368757
253	0.2785405094
254	0.2785146946
255	0.2784013858
256	0.2782850586
257	0.2781882294
258	0.278106115
259	0.2780481507
260	0.2779508621
261	0.2777659056
262	0.2776755319
263	0.277600364
264	0.2774967515
265	0.2773741744
266	0.2772687396
267	0.2772293664
268	0.2771617744
269	0.2771309928
270	0.27707131
271	0.2769046852
272	0.2767804693
273	0.2766552097
274	0.2765266265
275	0.2764299211
276	0.2763525896
277	0.2762654721
278	0.276197632
279	0.2760730452
280	0.2759772886
281	0.2758839413
282	0.2757789457
283	0.2756714849
284	0.2755790566
285	0.2754698617
286	0.275400464
287	0.2752297107
288	0.2751066218
289	0.2750545189
290	0.2749903529
291	0.2748781683
292	0.2747678869
293	0.2746930318
294	0.2746177259
295	0.2745268443
296	0.2744683985
297	0.2743434564
298	0.2742194597
299	0.2740995404
300	0.2739632421
301	0.2738308998
302	0.2737728427
303	0.2736148108
304	0.2735340336
305	0.2734155441
306	0.2733703029
307	0.2732855061
308	0.273179682
309	0.2730677657
310	0.2729845677
311	0.2728534337
312	0.272722757
313	0.2726094027
314	0.2725433869
315	0.2724171454
316	0.2723027814
317	0.2722512517
318	0.2721732307
319	0.2720523781
320	0.2718983892
321	0.27181856
322	0.2717246002
323	0.2716102406
324	0.2715386696
325	0.2714210826
326	0.2712956389
327	0.2711619375
328	0.2711058019
329	0.2710075747
330	0.2708644151
331	0.2708270787
332	0.2707201217
333	0.270565645
334	0.2704213369
335	0.2703027232
336	0.2702101633
337	0.270089615
338	0.269971976
339	0.2699133492
340	0.2698658118
341	0.2698146063
342	0.2696983392
343	0.2695819931
344	0.2694940579
345	0.2693898874
346	0.2692497374
347	0.2691295213
348	0.2690516956
349	0.2689427022
350	0.2688497689
351	0.2687046828
352	0.2685573953
353	0.2684229506
354	0.2683613826
355	0.2683465963
356	0.2682227824
357	0.2681546036
358	0.2680236166
359	0.2679437833
360	0.267877303
361	0.2677879426
362	0.2676885159
363	0.2675881814
364	0.2674634895
365	0.2674156927
366	0.2673123403
367	0.267182859
368	0.2670914367
369	0.2670172005
370	0.266903567
371	0.2668735146
372	0.2667529432
373	0.2666950145
374	0.2665849827
375	0.2664805407
376	0.2663923314
377	0.2662645586
378	0.2662088532
379	0.2661576171
380	0.2660780678
381	0.2660121425
382	0.2659532948
383	0.2658964365
384	0.2658033538
385	0.2656900186
386	0.265603921
387	0.2654985742
388	0.2653849165
389	0.2652885134
390	0.2651644704
391	0.2650644488
392	0.2649753032
393	0.2649099271
394	0.2648467165
395	0.2647417576
396	0.2646638502
397	0.2645689138
398	0.2645341554
399	0.2644537759
400	0.2643794942
401	0.2642644745
402	0.2641288977
403	0.2640948186
404	0.2640193075
405	0.2639128766
406	0.263833437
407	0.2637760567
408	0.2636765862
409	0.2635601409
410	0.2634811576
411	0.2633988102
412	0.263275553
413	0.2631293542
414	0.2630063533
415	0.2628903113
416	0.2628035819
417	0.2627377082
418	0.2626807985
419	0.2626567676
420	0.2625301874
421	0.2624016672
422	0.2623087365
423	0.2622554391
424	0.2622050435
425	0.2621286871
426	0.2620343992
427	0.2620129372
428	0.2619143686
429	0.2618628364
430	0.2617420822
431	0.2616541881
432	0.2615252376
433	0.2614611059
434	0.2614257274
435	0.2613118795
436	0.2612197149
437	0.2611288387
438	0.261040079
439	0.2609303608
440	0.2608367387
441	0.2607272348
442	0.2606865227
443	0.2606298479
444	0.2605201055
445	0.2604056691
446	0.2603481594
447	0.2602654705
448	0.2601818307
449	0.2601034282
450	0.2600991341
451	0.2600450632
452	0.2599718446
453	0.2598548442
454	0.2597697207
455	0.2596617971
456	0.2596277149
457	0.2595769901
458	0.259475144
459	0.2593861404
460	0.2592481834
461	0.2591402522
462	0.2590715786
463	0.2589666541
464	0.2588828839
465	0.2587927006
466	0.2586845082
467	0.258623421
468	0.2585367931
469	0.258417244
470	0.2583369769
471	0.2582588763
472	0.2582158583
473	0.2581890303
474	0.2581200927
475	0.2580519667
476	0.25797307
477	0.2579292
478	0.2578755572
479	0.2577602193
480	0.2577558516
481	0.2576775501
482	0.2576222799
483	0.2575433714
484	0.2574463594
485	0.2573981757
486	0.2573230958
487	0.2572935495
488	0.2572068394
489	0.2571471283
490	0.2571054342
491	0.2570333258
492	0.2569555022
493	0.256877817
494	0.2568237172
495	0.2567300751
496	0.2566492423
497	0.2565669794
498	0.256479363
499	0.2563599882
500	0.2563334835
501	0.2562727976
502	0.2561958722
503	0.2561292882
504	0.2560105618
505	0.2559188469
506	0.2558045606
507	0.2557656323
508	0.2556364203
509	0.2555484034
510	0.2554692465
511	0.2553638721
512	0.2552759516
513	0.2552018048
514	0.2550533488
515	0.2549408685
516	0.2548718111
517	0.2547921511
518	0.2546857358
519	0.2546047068
520	0.2545301022
521	0.2544384386
522	0.2543126683
523	0.2542385979
524	0.2541203591
525	0.2540236718
526	0.2539675439
527	0.2539191505
528	0.2538376337
529	0.2537443897
530	0.2536700059
531	0.2536123225
532	0.2535263604
533	0.2534596751
534	0.2534242063
535	0.2533759193
536	0.2533650591
537	0.2533008971
538	0.2532111208
539	0.2531475585
540	0.2531113282
541	0.2530227899
542	0.252966179
543	0.252949077
544	0.2528295758
545	0.2527386303
546	0.2526323303
547	0.2525320389
548	0.2525278812
549	0.2524054852
550	0.2523352898
551	0.2522630565
552	0.2522064858
553	0.252125586
554	0.2521150623
555	0.2520699516
556	0.2520256424
557	0.2519626853
558	0.2519170511
559	0.251818897
560	0.2517435506
561	0.2516759891
562	0.2515871047
563	0.2515067189
564	0.2514232555
565	0.2513448008
566	0.2512629965
567	0.2512040146
568	0.2511860209
569	0.2511260991
570	0.2510760827
571	0.2509740954
572	0.2509125829
573	0.2508191219
574	0.2507273256
575	0.2506728086
576	0.2505810518
577	0.2505414053
578	0.250470141
579	0.250426123
580	0.2503544386
581	0.2502652083
582	0.2502037243
583	0.2501449656
584	0.2500883895
585	0.250011344
586	0.2499453101
587	0.2499032233
588	0.2498749519
589	0.2498130572
590	0.2497030067
591	0.2496492609
592	0.2495946141
593	0.2495065166
594	0.2493663401
595	0.2493310946
596	0.2492873948
597	0.2492140491
598	0.2491761513
599	0.2491009221
600	0.2490561369
601	0.249039449
602	0.2489391235
603	0.2488267419
604	0.2487698172
605	0.2486899626
606	0.2485877747
607	0.248459273
608	0.2484103663
609	0.2483169744
610	0.2482660465
611	0.2482420691
612	0.2481751162
613	0.2480980197
614	0.2480260721
615	0.2479907085
616	0.2479002965
617	0.2478164827
618	0.2477707027
619	0.2476492212
620	0.2475462566
621	0.2474607477
622	0.247390923
623	0.2473740723
624	0.2472740753
625	0.2471778077
626	0.2470630621
627	0.2469911371
628	0.2468879415
629	0.2467606667
630	0.246657825
631	0.2465787378
632	0.2464925376
633	0.2464144773
634	0.2463451586
635	0.246249806
636	0.2461594308
637	0.2460606635
638	0.2459858673
639	0.2458722333
640	0.2458142694
641	0.2457462494
642	0.2457121402
643	0.2456738474
644	0.2456331009
645	0.2454953073
646	0.2453906592
647	0.2452856693
648	0.2452220684
649	0.2451358421
650	0.2450686191
651	0.2450532903
652	0.2449951622
653	0.2449289755
654	0.2448440208
655	0.2447711556
656	0.2446641528
657	0.2446044389
658	0.2445666528
659	0.244512249
660	0.2443888126
661	0.2443239163
662	0.2442428197
663	0.2441947132
664	0.2441212471
665	0.2440357416
666	0.2439524734
667	0.2439053318
668	0.2438414009
669	0.2438254963
670	0.2437491017
671	0.2436553877
672	0.2436012728
673	0.2434695702
674	0.2434042959
675	0.2433468417
676	0.243285973
677	0.24325419
678	0.2431433969
679	0.2430725981
680	0.2430299411
681	0.2429504302
682	0.2428953054
683	0.2428452731
684	0.2427867947
685	0.2426989064
686	0.2426436157
687	0.2425863172
688	0.2425175099
